16944384,16944639,TH,Thailand,Mukdahan,Mukdahan,16.54531,104.72351
16944640,16944895,TH,Thailand,Sakon Nakhon,Sawang Daen Din,17.47531,103.45753
16944896,16945151,TH,Thailand,Nong Khai,Fao Rai,18.01792,103.30388
16945152,16945407,TH,Thailand,Sakon Nakhon,Phon Na Kaeo,17.22122,104.28994
16945408,16945663,TH,Thailand,Sakon Nakhon,Sawang Daen Din,17.47531,103.45753
16945664,16945919,TH,Thailand,Nakhon Phanom,Pla Pak,17.18064,104.52606
16945920,16946431,TH,Thailand,Roi Et,Roi Et,16.0567,103.65309
16946432,16946687,TH,Thailand,Nakhon Phanom,Renu Nakhon,17.05157,104.67709
16946688,16946943,TH,Thailand,Nakhon Phanom,Si Songkhram,17.62745,104.2507
16946944,16947199,TH,Thailand,Udon Thani,Non Sa-at,16.97914,102.8937
16947200,16947455,TH,Thailand,Sakon Nakhon,Wanon Niwat,17.63391,103.75241
16947456,16947711,TH,Thailand,Sakon Nakhon,Phang Khon,17.3905,103.71692
16947712,16947967,TH,Thailand,Nakhon Phanom,Wang Yang,17.05752,104.45332
16947968,16948223,TH,Thailand,Udon Thani,Sang Khom,17.82649,103.09262
16948224,16948479,TH,Thailand,Udon Thani,Ban Phue,17.68742,102.47256
16948480,16948735,TH,Thailand,Udon Thani,Na Yung,17.89747,102.14981
16948736,16948991,TH,Thailand,Sakon Nakhon,Kut Bak,17.08882,103.81875
16948992,16949247,TH,Thailand,Kalasin,Yang Talat,16.39982,103.36785
16949248,16949503,TH,Thailand,Krung Thep Maha Nakhon,Bangkok,13.75,100.51667
16949504,16949759,TH,Thailand,Mukdahan,Wan Yai,16.72229,104.74136
16949760,16950271,TH,Thailand,Lampang,Lampang,18.29232,99.49277
16950272,16950527,TH,Thailand,Phetchabun,Wichian Buri,15.65778,101.10603
16950528,16950783,TH,Thailand,Nakhon Sawan,Chumsaeng,15.89152,100.30795
16950784,16951039,TH,Thailand,Prachuap Khiri Khan,Bang Saphan,11.21259,99.51167
16951040,16951295,TH,Thailand,Narathiwat,Tak Bai,6.25947,102.05461
16951296,16951551,TH,Thailand,Surin,Rattanaburi,15.31788,103.84859
16951552,16951807,TH,Thailand,Khon Kaen,Khon Kaen,16.44671,102.833
16951808,16952063,TH,Thailand,Chiang Mai,Chiang Mai,18.79038,98.98468
16952064,16952319,TH,Thailand,Phetchaburi,Phetchaburi,13.11189,99.94467
16952320,16952575,TH,Thailand,Buri Ram,Ban Kruat,14.42313,103.09974
16952576,16952831,TH,Thailand,Pattani,Khok Pho,6.73064,101.0962
16952832,16953087,TH,Thailand,Chiang Mai,Chiang Mai,18.79038,98.98468
16953088,16953343,TH,Thailand,Krung Thep Maha Nakhon,Bangkok,13.75,100.51667
16953344,16953599,TH,Thailand,Chanthaburi,Khlung,12.45467,102.22142
16953600,16953855,TH,Thailand,Nonthaburi,Mueang Nonthaburi,13.86075,100.51477
16953856,16954111,TH,Thailand,Surat Thani,Surat Thani,9.14011,99.33311
